1.6592E+12,2022-07-30T12:40:23.649,7.56,-0.428,-0.87,0.117
1659200000000.0,2022-07-30T12:40:23.689,7.6,-0.413,-0.875,0.117
1659200000000.0,2022-07-30T12:40:23.729,7.64,-0.414,-0.876,0.12
1659200000000.0,2022-07-30T12:40:23.769,7.68,-0.416,-0.876,0.126
1659200000000.0,2022-07-30T12:40:23.809,7.72,-0.417,-0.875,0.126
1659200000000.0,2022-07-30T12:40:23.849,7.76,-0.425,-0.872,0.124
1659200000000.0,2022-07-30T12:40:23.889,7.8,-0.429,-0.87,0.12
1659200000000.0,2022-07-30T12:40:23.929,7.84,-0.429,-0.871,0.12
1659200000000.0,2022-07-30T12:40:23.969,7.88,-0.425,-0.868,0.123
1659200000000.0,2022-07-30T12:40:24.009,7.92,-0.429,-0.869,0.124
1659200000000.0,2022-07-30T12:40:24.049,7.96,-0.427,-0.872,0.126
1659200000000.0,2022-07-30T12:40:24.089,8.0,-0.428,-0.868,0.122
1659200000000.0,2022-07-30T12:40:24.129,8.04,-0.427,-0.865,0.119
1659200000000.0,2022-07-30T12:40:24.169,8.08,-0.428,-0.87,0.12
1659200000000.0,2022-07-30T12:40:24.209,8.12,-0.431,-0.867,0.124
1659200000000.0,2022-07-30T12:40:24.249,8.16,-0.432,-0.866,0.125
1659200000000.0,2022-07-30T12:40:24.289,8.2,-0.426,-0.87,0.123
1659200000000.0,2022-07-30T12:40:24.329,8.24,-0.425,-0.867,0.12
1659200000000.0,2022-07-30T12:40:24.369,8.28,-0.426,-0.867,0.119
1659200000000.0,2022-07-30T12:40:24.409,8.32,-0.427,-0.868,0.121
1659200000000.0,2022-07-30T12:40:24.449,8.36,-0.43,-0.867,0.124
1659200000000.0,2022-07-30T12:40:24.489,8.4,-0.432,-0.866,0.127
1659200000000.0,2022-07-30T12:40:24.529,8.44,-0.432,-0.865,0.126
1659200000000.0,2022-07-30T12:40:24.569,8.48,-0.436,-0.869,0.119
1659200000000.0,2022-07-30T12:40:24.609,8.52,-0.433,-0.865,0.125
1659200000000.0,2022-07-30T12:40:24.649,8.56,-0.432,-0.863,0.13
1659200000000.0,2022-07-30T12:40:24.689,8.6,-0.435,-0.865,0.127
1659200000000.0,2022-07-30T12:40:24.729,8.64,-0.435,-0.868,0.122
1659200000000.0,2022-07-30T12:40:24.769,8.68,-0.434,-0.863,0.122
1659200000000.0,2022-07-30T12:40:24.809,8.72,-0.435,-0.866,0.127
1659200000000.0,2022-07-30T12:40:24.849,8.76,-0.435,-0.868,0.13
1659200000000.0,2022-07-30T12:40:24.889,8.8,-0.434,-0.871,0.126
1659200000000.0,2022-07-30T12:40:24.929,8.84,-0.426,-0.868,0.123
1659200000000.0,2022-07-30T12:40:24.969,8.88,-0.425,-0.865,0.119
1659200000000.0,2022-07-30T12:40:25.009,8.92,-0.428,-0.863,0.124
1659200000000.0,2022-07-30T12:40:25.049,8.96,-0.434,-0.864,0.132
1659200000000.0,2022-07-30T12:40:25.089,9.0,-0.44,-0.862,0.134
1659200000000.0,2022-07-30T12:40:25.129,9.04,-0.435,-0.86,0.135
1659200000000.0,2022-07-30T12:40:25.169,9.08,-0.432,-0.864,0.136
1659200000000.0,2022-07-30T12:40:25.209,9.12,-0.43,-0.87,0.132
