1.65921E+12,2022-07-30T15:51:05.953,6.92,0.41,0.93,-0.049
1659210000000.0,2022-07-30T15:51:05.993,6.96,0.408,0.929,-0.049
1659210000000.0,2022-07-30T15:51:06.033,7.0,0.412,0.932,-0.049
1659210000000.0,2022-07-30T15:51:06.073,7.04,0.412,0.932,-0.047
1659210000000.0,2022-07-30T15:51:06.113,7.08,0.414,0.934,-0.05
1659210000000.0,2022-07-30T15:51:06.153,7.12,0.42,0.931,-0.045
1659210000000.0,2022-07-30T15:51:06.193,7.16,0.42,0.929,-0.047
1659210000000.0,2022-07-30T15:51:06.233,7.2,0.419,0.935,-0.046
1659210000000.0,2022-07-30T15:51:06.273,7.24,0.413,0.938,-0.046
1659210000000.0,2022-07-30T15:51:06.313,7.28,0.412,0.939,-0.05
1659210000000.0,2022-07-30T15:51:06.353,7.32,0.413,0.932,-0.049
1659210000000.0,2022-07-30T15:51:06.393,7.36,0.415,0.931,-0.047
1659210000000.0,2022-07-30T15:51:06.433,7.4,0.414,0.931,-0.044
1659210000000.0,2022-07-30T15:51:06.473,7.44,0.419,0.931,-0.044
1659210000000.0,2022-07-30T15:51:06.513,7.48,0.418,0.932,-0.043
1659210000000.0,2022-07-30T15:51:06.553,7.52,0.416,0.931,-0.043
1659210000000.0,2022-07-30T15:51:06.593,7.56,0.415,0.934,-0.042
1659210000000.0,2022-07-30T15:51:06.633,7.6,0.413,0.932,-0.041
1659210000000.0,2022-07-30T15:51:06.673,7.64,0.418,0.933,-0.039
1659210000000.0,2022-07-30T15:51:06.713,7.68,0.421,0.932,-0.038
1659210000000.0,2022-07-30T15:51:06.753,7.72,0.416,0.932,-0.041
1659210000000.0,2022-07-30T15:51:06.793,7.76,0.408,0.93,-0.047
1659210000000.0,2022-07-30T15:51:06.833,7.8,0.401,0.929,-0.052
1659210000000.0,2022-07-30T15:51:06.873,7.84,0.4,0.936,-0.052
1659210000000.0,2022-07-30T15:51:06.913,7.88,0.405,0.936,-0.048
1659210000000.0,2022-07-30T15:51:06.953,7.92,0.404,0.933,-0.044
1659210000000.0,2022-07-30T15:51:06.993,7.96,0.402,0.94,-0.042
1659210000000.0,2022-07-30T15:51:07.033,8.0,0.403,0.942,-0.044
